X,Y,DESCRIP86,BUSINESS86,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE,OBJECTID
323653.1772,672446.220100001,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1-3 ANGLE PARK,EH11 2JX,159
323649.5776,672442.033399999,denture repairs, ,Class 2,Vacant,Vacant,Class 4,5 ANGLE PARK TE,EH11 2JX,160
323645.6635,672437.3365,betting shop, ,Class 2,Class 2,Class 2,Class 4,7 ANGLE PARK TE,EH11 2JX,161
323633.4893,672421.792300001,car showroom, ,SUI GENERIS,Class 1, , , , ,162
323594,672386,joiners & decorators, ,Class 4,Class 4,Class 4,Class 4,22 ANGLE PARK T,EH11 2JX,163
323583,672368,motor access., ,Class 1,Vacant,Class 11,Vacant,24 ANGLE PARK T,EH11 2JT,164
323524,672303,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,58 ANGLE PARK T,EH11 2JR,165
323504.2805,672289.0792,grocer (lic), ,Class 1,Class 1,Class 1,Class 1,60 ANGLE PARK T,EH11 2JR,166
323500.8231,672286.2621,furniture removal, ,Class 1,Class 1,Class 1,Class 2,62 ANGLE PARK T,EH11 2JR,167
323497.573,672283.5122,electrician, ,Class 4,Class 4,Class 1,Class 4,64 ANGLE PARK T,EH11 2JR,168
323501.0608,672262.841600001,french polisher, ,Class 4,Vacant,Class 4,Class 9, , ,169
323504.3901,672265.4026,cleaning services, ,Class 4,Class 4,Class 4,Class 4, , ,170
323507.5914,672267.9637,furniture, ,Class 1,Class 9,Class 9, , , ,171
323528.4693,672283.408600001,hairdresser, ,Class 1,Class 1, , , , ,172
323533.2073,672286.866,electric spares / repairs, ,Class 1,Class 1,Class 4,Class 4,76 ANGLE PARK T,EH11 2JP,173
325893.622,675029.3608,plumber & gasfitter,Brown,Class 4,Class 1, , , , ,174
326198.4673,674751.3115,car showroom, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ANNANDALE ST,EH7 4AN,175
325925.5461,676939.4539,hot food t/a, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,3 ANNFIELD,EH6 4JF,176
325886.262,676944.723300001,public house, ,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,10 ANNFIELD,EH6 4JF,177
325756.9004,676976.084899999,vacant, ,Vacant,Class 9, , , , ,178
325668.0074,676991.630999999,vacant, ,Vacant,Class 9, , , , ,179
326088.4332,674489.1985,restaurant,Edmundo Ferri,Class 3,SUI GENERIS,Class 3,Class 3,1 ANTIGUA STREE,EH1 3NH,180
326090.7004,674493.732799999,hot food t/a,Edmundo Ferri,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,2 ANTIGUA STREE,EH1 3NH,181
326094.5668,674500.7653,"printing, office stationery",Inprint,Class 4,Class 3, , , , ,182
326097.4007,674505.8664,travel agent,Scotia Travel,Class 1,Class 1, , , , ,183
326100.8834,674511.9739,home computers,Pictaural Electronics Ltd.,Class 1,Class 1, , , , ,184
326106.7646,674520.552100001,pictures & picture framing,L. Freedman,Class 1,Class 1,Class 1,Class 1,8 ANTIGUA STREE,EH1 3NH,185
326107.9703,674523.0,restaurant,Malik & others,Class 3,Class 3,Class 3,Class 3,9A ANTIGUA STRE,EH1 3NH,186
326109.8834,674527.1296,musical goods,Bandparts,Class 1,Class 1, , , , ,187
