X,Y,OBJECTID,DESCRIP15,BUSINESS15,USECLASS15,CVR15_POST,EASTING,NORTHING,ADDRESS
327813,668262,854,beauty salon,Beautiful U,Class 1,EH17 8HN,327813,668262,62 CAPTAIN'S ROAD
324999,673799,855,coffee shop,Castello Coffee Company,Class 3,EH2 3AH,324999,673799,5 CASTLE STREET
324995,673810,856,bank,Virgin Money,Class 2,EH2 3AH,324995,673810,9 CASTLE STREET
324994,673813,857,day spa,Castle Thai Spa,Class 1,EH2 3AH,324994,673813,9A CASTLE STREET
324991,673824,858,coffee shop,Costa Coffee,Class 3,EH2 3AH,324991,673824,13A CASTLE STREET
324989,673829,859,restaurant (Italian),Strada,Class 3,EH2 3AH,324989,673829,15 CASTLE STREET
324988,673832,860,vacant,vacant,Vacant, ,324988,673832, 
324985,673840,861,bank,TSB,Class 2,EH2 3AH,324985,673840,19 CASTLE STREET
324983,673856,862,grocer,Day Today,Class 1,EH2 3DN,324983,673856,21(GF10) CASTLE STREET
324982,673860,863,restaurant (Chinese),Golden Dragon,Class 3,EH2 3DN,324982,673860,21(GF20) CASTLE STREET
324980,673866,864,"leather goods, shoe repairs, key cutting",H. Robertson,Class 1,EH2 3DN,324980,673866,21A CASTLE STREET
324903,673839,865,public house,The Amber Rose,SUI GENERIS,EH2 3HT,324903,673839,22A CASTLE STREET
324978,673873,866,"charity shop (hand-knitted clothing, craft goods)",The Treasure Trove (Royal Edinburgh Repository & Self Aid Society),Class 1,EH2 3DN,324978,673873,23(GF) CASTLE STREET
324976,673880,867,caf‚ & take-away food,Pret a Manger,Class 3,EH2 3DN,324976,673880,25 CASTLE STREET
324974,673885,868,"wall & floor tiles, interior d‚cor",Fired Earth,Class 1,EH2 3DN,324974,673885,29 CASTLE STREET
324971,673895,869,kitchen showroom,Harvey Jones Kitchens,Class 1,EH2 3DN,324971,673895,31 CASTLE STREET
324969,673900,870,restaurant (Thai),Chaophraya,Class 3,EH2 3DN,324969,673900,33(3F1) CASTLE STREET
324967,673789,871,mens clothing,High & Mighty,Class 1,EH2 3AT,324967,673789,4 CASTLE STREET
324964,673797,872,footwear,Ted & Muffy,Class 1,EH2 3AT,324964,673797,8 CASTLE STREET
324960,673815,873,adventure travel agents,Trailfinders,Class 1,EH2 3AT,324960,673815,14 CASTLE STREET
324946,673859,874,restaurant,T.G.I. Fridays,Class 3,EH2 3HT,324946,673859,26 CASTLE STREET
324938,673890,875,mens clothing,Pink,Class 1,EH2 3HT,324938,673890,32A CASTLE STREET
324940,673885,876,mens clothing,Pink,Class 1, ,324940,673885, 
324768,673506,877,restaurant,Wagamama,Class 3,EH1 2DP,324768,673506,1 CASTLE TERRACE
324993,673310,878,restaurant,Castle Terrace,Class 3,EH1 2EL,324993,673310,33 CASTLE TERRACE
324983,673292,879,restaurant (Italian),Il Castello Ristorante & Pizzeria,Class 3,EH1 2EL,324983,673292,36 CASTLE TERRACE
325457,673533,880,gifts,Castle Gift Shop,Class 1,EH1 2ND,325457,673533,539 CASTLEHILL
325455,673532,881,ice cream parlour,Mackie's of Scotland,Class 3,EH1 2ND,325455,673532,539A CASTLEHILL
325450,673531,882,ice cream parlour,Mackie's of Scotland,Class 3,EH1 2ND,325450,673531,541 CASTLEHILL
325408,673503,883,restaurant,Contini Royal Mile Caf‚,Class 3,EH1 2NE,325408,673503,356 CASTLEHILL
325123,673438,884,restaurant,Sodexho,Class 3,EH1 2NG,325123,673438,(364) CASTLEHILL
323630,672890,885,vacant,vacant,Vacant,EH11 2HE,323630,672890,26 CATHCART PLACE
328359,672700,886,public house,Sheep's Heid,SUI GENERIS,EH15 3QA,328359,672700,43 THE CAUSEWAY
326289,672391,887,n/t/c,Meadow News,Class 1,EH9 1QF,326289,672391,17 CAUSEWAYSIDE
326290,672386,888,restaurant,Hewat's,Class 3,EH9 1QF,326290,672386,19 CAUSEWAYSIDE
326295,672371,889,public house,Victoria Bar,SUI GENERIS,EH9 1QF,326295,672371,25-27 CAUSEWAYSIDE
326298,672362,890,chiropodist,Feet First,Class 2, ,326298,672362, 
326312,672348,891,wine merchant,Majestic Wines,Class 1,EH9 1QF,326312,672348,39 CAUSEWAYSIDE
326308,672335,892,florist,Lorraine Graham Flowers,Class 1,EH9 1QF,326308,672335,45 CAUSEWAYSIDE
326311,672328,893,restaurant,Celadon Thai Restaurant,Class 3,EH9 1QF,326311,672328,49-51 CAUSEWAYSIDE
326313,672320,894,beauty salon,True Thai,Class 1,EH9 1QF,326313,672320,55 CAUSEWAYSIDE
326319,672306,895,Antiques,Bygones,Class 1,EH9 1QF,326319,672306,63 CAUSEWAYSIDE
326320,672303,896,antiques,Allan K.L Jackson,Class 1,EH9 1QF,326320,672303,67 CAUSEWAYSIDE
326344,672260,897,vacant,vacant,Vacant,EH9 1QG,326344,672260,89 CAUSEWAYSIDE
326344,672260,898,vacant,vacant,Vacant,EH9 1QG,326344,672260,93 CAUSEWAYSIDE
326348,672242,899,restaurant,Sambuca,Class 3,EH9 1QG,326348,672242,99 CAUSEWAYSIDE
326349,672237,900,restaurant,Sambuca,Class 3,EH9 1QG,326349,672237,101-103 CAUSEWAYSIDE
326408,672037,901,antique & reproduction furniture,Vintage & Reclaimed,Class 1,EH9 1PH,326408,672037,179-181 CAUSEWAYSIDE
326411,672034,902,vacant,VACANT,Vacant,EH9 1PH,326411,672034,187 CAUSEWAYSIDE
326408,672034,903,hairdresser,Hair by Colours,Class 1, ,326408,672034, 
326410,672032,904,furniture restorer,Chairwoman,Class 2,EH9 1PH,326410,672032,189 CAUSEWAYSIDE
326411,672029,905,roofing contractors,KM Contracts,Class 4,EH9 1PH,326411,672029,191 CAUSEWAYSIDE
326432,671971,906,hot food take-away,Bella Roma Takeaway,SUI GENERIS,EH9 1PH,326432,671971,223 CAUSEWAYSIDE
326442,671948,907,public house,Old Bell Inn,SUI GENERIS,EH9 1PH,326442,671948,233 CAUSEWAYSIDE
326440,671953,908,restaurant,New Bell Restaurant,Class 3,EH9 1PH,326440,671953,233/1 CAUSEWAYSIDE
326288,672319,909,Second hand furniture,The Bright Green Initiative,Class 1,EH9 1PY,326288,672319,56 CAUSEWAYSIDE
326290,672288,910,Supermarket,J SAINSBURY PLC,Class 1,EH9 1PY,326290,672288,72-78 CAUSEWAYSIDE
326306,672278,911,vacant,vacant,Vacant,EH9 1PY,326306,672278,84 CAUSEWAYSIDE
326322,672238,912,hair and beauty,"Lipstick, Lashes and Locks",Class 1,EH9 1PU,326322,672238,100 CAUSEWAYSIDE
326322,672238,913,Professional children party organisers,wonderful world of parties,Class 2,EH9 1PU,326322,672238,102 CAUSEWAYSIDE
326322,672238,914,antique furniture,Patrick Buckley Antiques,Class 1,EH9 1PU,326322,672238,106-108 CAUSEWAYSIDE
326328,672224,915,sporran maker,Wm. E Scott,Class 4,EH9 1PU,326328,672224,110-112 CAUSEWAYSIDE
326331,672214,916,public house,Scotch Hop,SUI GENERIS,EH9 1PU,326331,672214,114 CAUSEWAYSIDE
326326,672185,917,lighting & furniture,Cotterell Light Centres,Class 1,EH9 1PU,326326,672185,122 CAUSEWAYSIDE
326347,672151,918,public house,No.1 Grange Road,SUI GENERIS,EH9 1PR,326347,672151,130-132 CAUSEWAYSIDE
326361,672092,919,bathroom showroom,Broscolo Bathrooms,Class 1,EH9 1PR,326361,672092,156 CAUSEWAYSIDE
326367,672072,920,supermarket,Tesco Express,Class 1,EH9 1PR,326367,672072,158 CAUSEWAYSIDE
326382,672039,921,furnishing foam,The Foam Centre,Class 1,EH9 1PN,326382,672039,176 CAUSEWAYSIDE
326384,672031,922,vacant,vacant,Vacant,EH9 1PN,326384,672031,180 CAUSEWAYSIDE
326385,672028,923,hairdresser (gents),Baxters The Barber,Class 1,EH9 1PN,326385,672028,182 CAUSEWAYSIDE
326387,672025,924,take-away food,Grange Take-Away,Class 1,EH9 1PN,326387,672025,186 CAUSEWAYSIDE
326386,672019,925,Restaurant (Indian),Pataka Indian and Bengali,Class 3,EH9 1PN,326386,672019,188-190 CAUSEWAYSIDE
326391,672015,926,restaurant (indian & Bangladeshi),Pataka,Class 3, ,326391,672015, 
326386,671925,927,bike recycling,The Bike Station,Class 1,EH9 1UU,326386,671925,250 CAUSEWAYSIDE
326392,671912,928,spherical projection,Pufferfish,Class 2,EH9 1UU,326392,671912,252 CAUSEWAYSIDE
326050,673737,929,caf‚,Forsyth's Tea Room,Class 3,EH1 1SS,326050,673737,"1 CHALMERS CLOSE, ( 81 HIGH STREET )"
325974,673424,930,public house,The Jazz Bar,SUI GENERIS,EH1 1HR,325974,673424,1A CHAMBERS STREET
325965,673421,931,hi-fi equipment,Richer Sounds,Class 1,EH1 1HR,325965,673421,1B CHAMBERS STREET
325732,673343,932,restaurant & public house,Revolution,Class 3,EH1 1HU,325732,673343,30A CHAMBERS STREET
325706,673339,933,restaurant,Nando's,Class 3,EH1 1HU,325706,673339,32 CHAMBERS STREET
325722,673339,934,restaurant,The Tower,Class 3,EH1 1JF,325722,673339,(44A) CHAMBERS STREET
325564,676204,935,designer radiators,The Radiator Store,Class 1,EH6 4SS,325564,676204,17-18 CHANCELOT TERRACE
326028,673037,936,sandwich shop,The Wrap Place,Class 3,EH8 9AY,326028,673037,4 CHAPEL STREET
326028,673037,937,caf‚ & sandwich bar,Nile Valley Caf‚,Class 3,EH8 9AY,326028,673037,6 CHAPEL STREET
326028,673037,938,caf‚ (African Caribbean),Jollof Hub,Class 3,EH8 9AY,326028,673037,10 CHAPEL STREET
326028,673026,939,restaurant,Buffalo Grill,Class 3,EH8 9AY,326028,673026,12-14 CHAPEL STREET
324557,673778,940,restaurant & public house,Indigo Yard,Class 3,EH2 4QZ,324557,673778,7 CHARLOTTE LANE
324567,673790,941,public house,SYGN,SUI GENERIS,EH2 4QZ,324567,673790,15 CHARLOTTE LANE
321867,671602,942,bank,Royal Bank of Scotland,Class 2,EH14 1TB,321867,671602,1 CHESSER AVENUE
324523,671681,943,"gifts, cards,fancy goods",The Ugly Duckling,Class 1,EH10 4BE,324523,671681,3 CHURCH HILL PLACE
324527,671682,944,beauty salon,Holly Blue Nails & Beauty,Class 1,EH10 4BE,324527,671682,5 CHURCH HILL PLACE
324534,671682,945,"homeware, fancy goods",Time and Tide,Class 1,EH10 4BE,324534,671682,7-9 CHURCH HILL PLACE
324543,671683,946,vacant,vacant,Vacant,EH10 4BE,324543,671683,13-15 CHURCH HILL PLACE
